文件名,参数类型,参数值,行业基准,数值偏离度,共识度(Lift),判定状态,诊断理由
淮南市农村电影公益放映服务器更新项目.pdf,内存,500,64,681.25%,0.19,控标态,"缺乏行业共识(Lift=0.19<0.7), 疑似排他性参数"
淮南市农村电影公益放映服务器更新项目.pdf,硬盘,500,30720,-98.37%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-98.4%)"
清华大学GPU服务器机房设备采购项目.pdf,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
河北资源环境职业技术学院数据存储服务器.pdf,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
河北资源环境职业技术学院数据存储服务器.pdf,硬盘,12288,30720,-60.00%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-60.0% < -30%), 存在性能短板"
涡阳县人民医院改扩建工程（一期）超融合一体机服务器等信息化设备采购项目.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
涡阳县人民医院改扩建工程（一期）超融合一体机服务器等信息化设备采购项目.pdf,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
涡阳县人民医院改扩建工程（一期）超融合一体机服务器等信息化设备采购项目.pdf,硬盘,24576,30720,-20.00%,1.2,理想态,"符合行业主流, 数值在容忍区间内(-20.0%)"
清镇市中医院医院关于采购信息化服务器的项目.pdf,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
清镇市中医院医院关于采购信息化服务器的项目.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
清镇市中医院医院关于采购信息化服务器的项目.pdf,硬盘,26214,30720,-14.67%,1.2,理想态,"符合行业主流, 数值在容忍区间内(-14.7%)"
日照市人民法院服务器虚拟软件采购项目竞争性谈判.pdf,CPU,20,24,-16.67%,0.44,控标态,"缺乏行业共识(Lift=0.44<0.7), 疑似排他性参数"
滁州市公安局服务器更新采购项目竞争性谈判.pdf,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
滁州市公安局服务器更新采购项目竞争性谈判.pdf,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
滁州市公安局服务器更新采购项目竞争性谈判.pdf,硬盘,2457,30720,-92.00%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-92.0%)"
温岭市公安局交通警察大队非国产化服务器改造采购项目.pdf,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
温岭市公安局交通警察大队非国产化服务器改造采购项目.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
温岭市公安局交通警察大队非国产化服务器改造采购项目.pdf,硬盘,38912,30720,26.67%,1.2,理想态,"符合行业主流, 数值在容忍区间内(+26.7%)"
温岭市公安局交通警察大队非国产化服务器改造采购项目的公开招标公告.pdf,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
温岭市公安局交通警察大队非国产化服务器改造采购项目的公开招标公告.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
温岭市公安局交通警察大队非国产化服务器改造采购项目的公开招标公告.pdf,硬盘,38912,30720,26.67%,1.2,理想态,"符合行业主流, 数值在容忍区间内(+26.7%)"
牡丹江医科大学附属红旗医院人工智能AI集群服务器.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
牡丹江医科大学附属红旗医院人工智能AI集群服务器.pdf,内存,200,64,212.50%,0.56,控标态,"缺乏行业共识(Lift=0.56<0.7), 疑似排他性参数"
牡丹江医科大学附属红旗医院人工智能AI集群服务器.pdf,硬盘,57344,30720,86.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
福州大学服务器直接订购采购合同.pdf,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
福州大学服务器直接订购采购合同.pdf,内存,960,64,1400.00%,1.69,冗余态,"虽为主流技术, 但超出宽限阈值(+1400.0% > +30%), 存在效能溢出"
福州大学服务器直接订购采购合同.pdf,硬盘,8192,30720,-73.33%,3.59,瓶颈态,"虽为主流技术, 但配置不足(-73.3% < -30%), 存在性能短板"
石家庄邮电职业技术学院2025年实训室教学用计算机、服务器采购项目.pdf,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
石家庄邮电职业技术学院2025年实训室教学用计算机、服务器采购项目.pdf,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
石家庄邮电职业技术学院2025年实训室教学用计算机、服务器采购项目.pdf,硬盘,3276800,30720,10566.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
芜湖职业技术学院教务处南区公共机房云管理平台及服务器采购项目.pdf,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
芜湖职业技术学院教务处南区公共机房云管理平台及服务器采购项目.pdf,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
芜湖职业技术学院教务处南区公共机房云管理平台及服务器采购项目.pdf,硬盘,6144,30720,-80.00%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-80.0% < -30%), 存在性能短板"
贵州财经职业学院国产化服务器集群建设项目竞争性磋商.pdf,CPU,64,24,166.67%,1.75,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
贵州财经职业学院国产化服务器集群建设项目竞争性磋商.pdf,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
贵州财经职业学院国产化服务器集群建设项目竞争性磋商.pdf,硬盘,8192,30720,-73.33%,3.59,瓶颈态,"虽为主流技术, 但配置不足(-73.3% < -30%), 存在性能短板"
贵州师范学院关于贵州师范学院评卷服务器机房改扩建项目.pdf,CPU,12,24,-50.00%,0.44,瓶颈态,"非主流低配(Lift=0.44), 且显著低于基准(-50.0%)"
贵州师范学院关于贵州师范学院评卷服务器机房改扩建项目.pdf,内存,256,64,300.00%,1.13,冗余态,"虽为主流技术, 但超出宽限阈值(+300.0% > +30%), 存在效能溢出"
贵州师范学院关于贵州师范学院评卷服务器机房改扩建项目.pdf,硬盘,53248020725767168,30720,173333400799923.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
阿坝藏族羌族自治州公安局智能化卷宗子系统GPU服务器采购项目询价公告.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
阿坝藏族羌族自治州公安局智能化卷宗子系统GPU服务器采购项目询价公告.pdf,内存,256,64,300.00%,1.13,冗余态,"虽为主流技术, 但超出宽限阈值(+300.0% > +30%), 存在效能溢出"
阿坝藏族羌族自治州公安局智能化卷宗子系统GPU服务器采购项目询价公告.pdf,硬盘,196608,30720,540.00%,1.8,冗余态,"虽为主流技术, 但超出宽限阈值(+540.0% > +30%), 存在效能溢出"
贵州广播电视台关于播出系统视频服务器更新项目.pdf,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
贵州广播电视台关于播出系统视频服务器更新项目.pdf,硬盘,36864,30720,20.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
郑州警察学院服务器采购项目采购文件.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
郑州警察学院服务器采购项目采购文件.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
郑州警察学院服务器采购项目采购文件.pdf,硬盘,480,30720,-98.44%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-98.4%)"
重庆出入境边防检查总站服务器（询价）电子询价需求公告.pdf,内存,256,64,300.00%,1.13,冗余态,"虽为主流技术, 但超出宽限阈值(+300.0% > +30%), 存在效能溢出"
重庆出入境边防检查总站服务器（询价）电子询价需求公告.pdf,硬盘,1228,30720,-96.00%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-96.0% < -30%), 存在性能短板"
陕西省结核病防治院服务器采购项目.pdf,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
陕西省高速公路收费中心数据库服务器采购项目.pdf,CPU,76,24,216.67%,0.22,控标态,"缺乏行业共识(Lift=0.22<0.7), 疑似排他性参数"
酒泉市中医医院信息系统配套服务器建设项目公开招标.pdf,CPU,13,24,-45.83%,0.22,瓶颈态,"非主流低配(Lift=0.22), 且显著低于基准(-45.8%)"
酒泉市中医医院信息系统配套服务器建设项目公开招标.pdf,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
酒泉市中医医院信息系统配套服务器建设项目公开招标.pdf,硬盘,18432,30720,-40.00%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-40.0% < -30%), 存在性能短板"
青海省心脑血管病专科医院Pacs系统存储及服务器采购项目询比.pdf,CPU,10,24,-58.33%,0.44,瓶颈态,"非主流低配(Lift=0.44), 且显著低于基准(-58.3%)"
青海省心脑血管病专科医院Pacs系统存储及服务器采购项目询比.pdf,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
青海省心脑血管病专科医院Pacs系统存储及服务器采购项目询比.pdf,硬盘,18432,30720,-40.00%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-40.0% < -30%), 存在性能短板"
马鞍山市人民医院东院灾备中心服务器采购招标公告.pdf,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
马鞍山市人民医院东院灾备中心服务器采购招标公告.pdf,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
马鞍山市人民医院东院灾备中心服务器采购招标公告.pdf,硬盘,512,30720,-98.33%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-98.3%)"
鸡西市民康医院购买服务器(三次)竞争性谈判公告.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
鸡西市民康医院购买服务器(三次)竞争性谈判公告.pdf,内存,128,64,100.00%,0.38,控标态,"缺乏行业共识(Lift=0.38<0.7), 疑似排他性参数"
鸡西市民康医院购买服务器(三次)竞争性谈判公告.pdf,硬盘,4096,30720,-86.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-86.7% < -30%), 存在性能短板"
黄平县人民医院服务器采购项目.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
黄平县人民医院服务器采购项目.pdf,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
黄平县人民医院服务器采购项目.pdf,硬盘,185344,30720,503.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
黑河市公安局购买服务器和对接配件竞争性谈判公告.pdf,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
黑河市公安局购买服务器和对接配件竞争性谈判公告.pdf,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
黑河市公安局购买服务器和对接配件竞争性谈判公告.pdf,硬盘,2048,30720,-93.33%,2.39,瓶颈态,"虽为主流技术, 但配置不足(-93.3% < -30%), 存在性能短板"
青岛科技大学专业实训教学服务器采购项目竞争性磋商文件.pdf,CPU,20,24,-16.67%,0.44,控标态,"缺乏行业共识(Lift=0.44<0.7), 疑似排他性参数"
青岛科技大学专业实训教学服务器采购项目竞争性磋商文件.pdf,内存,960,64,1400.00%,1.69,冗余态,"虽为主流技术, 但超出宽限阈值(+1400.0% > +30%), 存在效能溢出"
青岛科技大学专业实训教学服务器采购项目竞争性磋商文件.pdf,硬盘,92160,30720,200.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
天津市第五中心医院采购高性能服务器系统项目.docx,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
天津市第五中心医院采购高性能服务器系统项目.docx,内存,40,64,-37.50%,1.13,瓶颈态,"虽为主流技术, 但配置不足(-37.5% < -30%), 存在性能短板"
天津市第五中心医院采购高性能服务器系统项目.docx,硬盘,81920,30720,166.67%,3.59,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
